nwb_path,session_start_time,subject_id,num_good_units,num_units,brain_region,device,is_single_shank,is_v1_probe,most_common_area
sub-440956/sub-440956_ses-20190208T133600_behavior+ecephys+ogen.nwb,2019-02-08 13:36:00-06:00,440956,124,534,left ALM,18005110031 (neuropixels 1.0 - 3B),True,True,"Orbital area, ventrolateral part, layer 5"
sub-440956/sub-440956_ses-20190208T133600_behavior+ecephys+ogen.nwb,2019-02-08 13:36:00-06:00,440956,58,348,right Striatum,18005117122 (neuropixels 1.0 - 3B),True,True,"Primary motor area, Layer 5"
sub-440956/sub-440956_ses-20190208T133600_behavior+ecephys+ogen.nwb,2019-02-08 13:36:00-06:00,440956,100,397,right ALM,18005117412 (neuropixels 1.0 - 3B),True,True,"Orbital area, lateral part, layer 5"
sub-440956/sub-440956_ses-20190208T133600_behavior+ecephys+ogen.nwb,2019-02-08 13:36:00-06:00,440956,93,456,left Striatum,18005118502 (neuropixels 1.0 - 3B),True,True,Caudoputamen
sub-440956/sub-440956_ses-20190210T155629_behavior+ecephys+ogen.nwb,2019-02-10 15:56:29-06:00,440956,135,506,right ALM,17131309211 (neuropixels 1.0 - 3B),True,True,"Orbital area, lateral part, layer 6a"
sub-440956/sub-440956_ses-20190210T155629_behavior+ecephys+ogen.nwb,2019-02-10 15:56:29-06:00,440956,195,600,left ALM,17216703352 (neuropixels 1.0 - 3B),True,True,"Orbital area, ventrolateral part, layer 5"
sub-440956/sub-440956_ses-20190210T155629_behavior+ecephys+ogen.nwb,2019-02-10 15:56:29-06:00,440956,62,225,left Striatum,18005107812 (neuropixels 1.0 - 3B),True,True,Anteroventral nucleus of thalamus
sub-440956/sub-440956_ses-20190210T155629_behavior+ecephys+ogen.nwb,2019-02-10 15:56:29-06:00,440956,160,680,right Striatum,18005107871 (neuropixels 1.0 - 3B),True,True,"Globus pallidus, external segment"
sub-442571/sub-442571_ses-20190301T140324_behavior+ecephys+ogen.nwb,2019-03-01 14:03:24-06:00,442571,76,338,right ALM,17131309211 (neuropixels 1.0 - 3B),True,True,"Orbital area, ventrolateral part, layer 5"
sub-442571/sub-442571_ses-20190301T140324_behavior+ecephys+ogen.nwb,2019-03-01 14:03:24-06:00,442571,158,459,left ALM,17216703352 (neuropixels 1.0 - 3B),True,True,"Orbital area, lateral part, layer 5"
sub-442571/sub-442571_ses-20190301T140324_behavior+ecephys+ogen.nwb,2019-03-01 14:03:24-06:00,442571,146,467,left Striatum,18005107812 (neuropixels 1.0 - 3B),True,True,Caudoputamen
sub-442571/sub-442571_ses-20190301T140324_behavior+ecephys+ogen.nwb,2019-03-01 14:03:24-06:00,442571,53,328,right Striatum,18005107871 (neuropixels 1.0 - 3B),True,True,Caudoputamen
sub-455219/sub-455219_ses-20190807T134913_behavior+ecephys+ogen.nwb,2019-08-07 13:49:13-05:00,455219,246,676,right ALM,17131309211 (neuropixels 1.0 - 3B),True,True,"Orbital area, ventrolateral part, layer 5"
sub-455219/sub-455219_ses-20190807T134913_behavior+ecephys+ogen.nwb,2019-08-07 13:49:13-05:00,455219,151,409,left ALM,17216703352 (neuropixels 1.0 - 3B),True,True,"Orbital area, ventrolateral part, layer 5"
sub-455219/sub-455219_ses-20190807T134913_behavior+ecephys+ogen.nwb,2019-08-07 13:49:13-05:00,455219,66,342,right Midbrain,18005107871 (neuropixels 1.0 - 3B),True,True,Pontine reticular nucleus
sub-440957/sub-440957_ses-20190214T144611_behavior+ecephys+image+ogen.nwb,2019-02-14 14:46:11+00:00,440957,88,366,left ALM,18005106822 (neuropixels 1.0 - 3B),True,True,"Orbital area, lateral part, layer 5"
