nwb_path,session_start_time,subject_id,num_good_units,num_units,device,is_single_shank,is_v1_probe,most_common_area,brain_region
sub-KS042/sub-KS042_ses-8c552ddc-813e-4035-81cc-3971b57efe65_behavior+ecephys+image.nwb,2020-11-23 18:42:36.343000+00:00,KS042,100,750,probe00,True,True,PIR,
sub-KS042/sub-KS042_ses-8c552ddc-813e-4035-81cc-3971b57efe65_behavior+ecephys+image.nwb,2020-11-23 18:42:36.343000+00:00,KS042,24,305,probe01,True,True,PAG,
sub-KS042/sub-KS042_ses-07dc4b76-5b93-4a03-82a0-b3d9cc73f412_behavior+ecephys+image.nwb,2020-11-24 19:58:05.975000+00:00,KS042,51,320,probe00,True,True,MRN,
sub-KS042/sub-KS042_ses-07dc4b76-5b93-4a03-82a0-b3d9cc73f412_behavior+ecephys+image.nwb,2020-11-24 19:58:05.975000+00:00,KS042,60,545,probe01,True,True,MRN,
sub-NYU-21/sub-NYU-21_ses-ebe2efe3-e8a1-451a-8947-76ef42427cc9_behavior+ecephys+image.nwb,2020-08-19 12:43:13.897987-04:00,NYU-21,29,287,probe00,True,True,CP,
sub-NYU-21/sub-NYU-21_ses-ebe2efe3-e8a1-451a-8947-76ef42427cc9_behavior+ecephys+image.nwb,2020-08-19 12:43:13.897987-04:00,NYU-21,33,327,probe01,True,True,AMd,
sub-NYU-21/sub-NYU-21_ses-8c33abef-3d3e-4d42-9f27-445e9def08f9_behavior+ecephys+image.nwb,2020-08-13 12:03:36.351962-04:00,NYU-21,103,659,probe01,True,True,VPL,
sub-UCLA035/sub-UCLA035_ses-f99ac31f-171b-4208-a55d-5644c0ad51c3_behavior+ecephys+image.nwb,2022-02-24 16:24:03.301416-08:00,UCLA035,233,1017,probe00,True,True,DP,
sub-UCLA035/sub-UCLA035_ses-6f36868f-5cc1-450c-82fa-6b9829ce0cfe_behavior+ecephys+image.nwb,2022-02-18 16:13:34.602399-08:00,UCLA035,24,312,probe00,True,True,RSPd5,
sub-UCLA035/sub-UCLA035_ses-6f36868f-5cc1-450c-82fa-6b9829ce0cfe_behavior+ecephys+image.nwb,2022-02-18 16:13:34.602399-08:00,UCLA035,80,879,probe01,True,True,CP,
